Strategy,Raw Data,Can Code,Model,Dataset,Total Accuracy,Similarity Analysis,Pattern Recognition,Causality Analysis,Noise Understanding,Anolmaly Detection,Fixed Correlation,Lagged Correlation,Anomalies,Seasonality,Fat Tail,Stationarity,Structural Break,Trend,Volatility
coder,false,true,gpt-oss-120b,TSE,0.7037533512064343,0.7,0.7569060773480663,0.6527777777777778,0.7142857142857143,0.5555555555555556,,,,,,,,,
direct,true,false,gpt-oss-120b,TSE,0.6528150134048257,0.65,0.6906077348066298,0.4583333333333333,0.7619047619047619,0.5740740740740741,,,,,,,,,
hybrid,true,true,gpt-oss-120b,TSE,0.7801608579088471,0.7583333333333333,0.8093922651933702,0.75,0.8095238095238095,0.7037037037037037,,,,,,,,,
coder,false,true,qwen3-next,TSE,0.5911528150134048,0.6083333333333333,0.5994475138121547,0.6944444444444444,0.6547619047619048,0.42592592592592593,,,,,,,,,
direct,true,false,qwen3-next,TSE,0.6353887399463807,0.6583333333333333,0.6602209944751382,0.6111111111111112,0.6785714285714286,0.5092592592592593,,,,,,,,,
hybrid,true,true,qwen3-next,TSE,0.6809651474530831,0.6583333333333333,0.7071823204419889,0.6805555555555556,0.75,0.5648148148148148,,,,,,,,,
coder,false,true,gpt-oss-120b,TSFU,0.63,,,,,,0.795,0.425,0.65,0.63,0.865,0.46,0.44,0.965,0.275
direct,true,false,gpt-oss-120b,TSFU,0.5565,,,,,,0.7225,0.3,0.74,0.56,0.69,0.28,0.52,0.88,0.15
hybrid,true,true,gpt-oss-120b,TSFU,0.656,,,,,,0.7875,0.375,0.75,0.725,0.85,0.515,0.495,0.965,0.31
